holes,pigeons,algorithm,sat,time,decisions,conflicts
3,4,res-basic,UNSAT,0.019965,,
3,4,res-mostfreq,UNSAT,0.001572,,
3,4,res-leastfreq,UNSAT,0.000443,,
3,4,dp-basic,UNSAT,0.009996,,
3,4,dp-mostfreq,UNSAT,0.001306,,
3,4,dp-leastfreq,UNSAT,0.000326,,
3,4,dpll-fixed,UNSAT,0.000117,18,
3,4,dpll-mostfreq,UNSAT,0.000084,10,
3,4,dpll-jeroslow,UNSAT,0.000086,10,
4,5,res-basic,UNSAT,120.000000,,
4,5,res-mostfreq,UNSAT,120.000000,,
4,5,res-leastfreq,UNSAT,0.062833,,
4,5,dp-basic,UNSAT,120.000000,,
4,5,dp-mostfreq,UNSAT,120.000000,,
4,5,dp-leastfreq,UNSAT,0.061780,,
4,5,dpll-fixed,UNSAT,0.000804,138,
4,5,dpll-mostfreq,UNSAT,0.000397,46,
4,5,dpll-jeroslow,UNSAT,0.000423,46,
5,6,res-basic,UNSAT,120.000000,,
5,6,res-mostfreq,UNSAT,120.000000,,
5,6,res-leastfreq,UNSAT,120.000000,,
5,6,dp-basic,UNSAT,120.000000,,
5,6,dp-mostfreq,UNSAT,120.000000,,
5,6,dp-leastfreq,UNSAT,120.000000,,
5,6,dpll-fixed,UNSAT,0.006921,1258,
5,6,dpll-mostfreq,UNSAT,0.002086,238,
5,6,dpll-jeroslow,UNSAT,0.002343,238,
6,7,res-basic,UNSAT,120.000000,,
6,7,res-mostfreq,UNSAT,120.000000,,
6,7,res-leastfreq,UNSAT,120.000000,,
6,7,dp-basic,UNSAT,120.000000,,
6,7,dp-mostfreq,UNSAT,120.000000,,
6,7,dp-leastfreq,UNSAT,120.000000,,
6,7,dpll-fixed,UNSAT,0.078141,13858,
6,7,dpll-mostfreq,UNSAT,0.013272,1438,
6,7,dpll-jeroslow,UNSAT,0.014197,1438,
7,8,res-basic,UNSAT,120.000000,,
7,8,res-mostfreq,UNSAT,120.000000,,
7,8,res-leastfreq,UNSAT,120.000000,,
7,8,dp-basic,UNSAT,120.000000,,
7,8,dp-mostfreq,UNSAT,120.000000,,
7,8,dp-leastfreq,UNSAT,120.000000,,
7,8,dpll-fixed,UNSAT,0.948251,180178,
7,8,dpll-mostfreq,UNSAT,0.093076,10078,
7,8,dpll-jeroslow,UNSAT,0.097842,10078,
8,9,res-basic,UNSAT,120.000000,,
8,9,res-mostfreq,UNSAT,120.000000,,
8,9,res-leastfreq,UNSAT,120.000000,,
8,9,dp-basic,UNSAT,120.000000,,
8,9,dp-mostfreq,UNSAT,120.000000,,
8,9,dp-leastfreq,UNSAT,120.000000,,
8,9,dpll-fixed,UNSAT,14.321059,2702698,
8,9,dpll-mostfreq,UNSAT,0.749718,80638,
8,9,dpll-jeroslow,UNSAT,0.797098,80638,
